02/24/17 19:44:46 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%A6%C2%9C%C2%89%C3%A5%C2%9D%C2%82%C3%A7%C2%BE%C2%8E%C3%A9%C2%A6%C2%99""

02/24/17 19:45:12 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Louis+Armstrong+%26+Duke+Ellington""

02/24/17 19:46:24 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Artful+Dodger+%26+Romina+Johnson""

02/24/17 19:47:11 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"ASKA"^20+OR+comment:(American+metal+group%28%3F%29)"

02/24/17 19:48:20 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"ATB+with+Heather+Nova""

02/24/17 19:48:37 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Chet+Atkins+%26+Mark+Knopfler""

02/24/17 19:50:02 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Austria3""

02/24/17 19:50:49 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Avey+Tare+%26+Kr%C3%ADa+Brekkan""

02/24/17 19:51:05 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Axwell+%26+Sebastian+Ingrosso""

02/24/17 19:51:06 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Axwell+%26+Sebastian+Ingrosso+vs.+Salem+Al+Fakir""

02/24/17 19:51:10 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%A7%C2%B5%C2%A2%C3%A9%C2%A6%C2%99""

02/24/17 19:51:43 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"B+Real%2C+Busta+Rhymes%2C+Coolio%2C+LL+Cool+J+%26+Method+Man""

02/24/17 19:52:19 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Baby+Cham""

02/24/17 19:52:32 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%8E%C2%92%C3%8E%C2%B1%C3%8E%C2%B2%C3%8F%C2%85%C3%8E%C2%BB%C3%8F%C2%8E%C3%8E%C2%BD%C3%8E%C2%B1""

02/24/17 19:52:36 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%A3%C2%82%C2%B6%C3%A3%C2%83%C2%BB%C3%A3%C2%83%C2%99%C3%A3%C2%82%C2%A4%C3%A3%C2%83%C2%93%C3%A3%C2%83%C2%BC%C3%A3%C2%82%C2%B9%C3%A3%C2%82%C2%BF%C3%A3%C2%83%C2%BC%C3%A3%C2%82%C2%BA""

02/24/17 19:53:17 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Baddiel%2C+Skinner+%26+The+Lightning+Seeds""

02/24/17 19:57:46 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Frans+Bauer+%26+Marianne+Weber""

02/24/17 19:57:58 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bill+Baylis+%26+Simon+Stewart""

02/24/17 19:58:58 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bebo+%26+Cigala""

02/24/17 19:59:09 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"The+Jeff+Beck+Group""

02/24/17 20:00:02 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Ana+Bel%C3%A9n+%26+V%C3%ADctor+Manuel""

02/24/17 20:00:49 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Ben+Folds+and+WASO""

02/24/17 20:01:18 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Tony+Bennett+%26+k.d.+lang""

02/24/17 20:01:31 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"George+Benson+%26+Al+Jarreau""

02/24/17 20:01:55 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Michel+Berger+%26+Luc+Plamondon""

02/24/17 20:02:18 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Berryz%C3%A5%C2%B7%C2%A5%C3%A6%C2%88%C2%BF""

02/24/17 20:03:03 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Beyonc%C3%A9+%26+Shakira""

02/24/17 20:03:10 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bhangra+Knights+vs.+Husan""

02/24/17 20:03:13 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%90%C2%91%C3%90%C2%B8-2""

02/24/17 20:03:15 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Jello+Biafra+%26+Mojo+Nixon+%26+the+Toadliquors""

02/24/17 20:03:17 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Jello+Biafra+With+NoMeansNo""

02/24/17 20:03:31 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Big+Audio+Dynamite+II""

02/24/17 20:03:33 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Big+Bass+vs.+Michelle+Narine""

02/24/17 20:04:37 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bingo+Players+vs.+Chocolate+Puma""

02/24/17 20:04:58 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Birdman+%26+Lil+Wayne""

02/24/17 20:05:04 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Jane+Birkin+%26+Serge+Gainsbourg""

02/24/17 20:05:26 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bixio-Frizzi-Tempera""

02/24/17 20:05:27 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"%C3%A7%C2%BE%C2%8E%C3%A5%C2%8B%C2%87%C3%A4%C2%BC%C2%9D""

02/24/17 20:05:38 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bj%C3%B6rk+%26+David+Arnold""

02/24/17 20:05:40 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bj%C3%B6rk+Gu%C3%B0mundsd%C3%B3ttir+%26+tr%C3%AD%C3%B3+Gu%C3%B0mundar+Ing%C3%B3lfssonar""

02/24/17 20:07:13 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Sonny+Black+%26+Saad""

02/24/17 20:08:02 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Blaque+Ivory""

02/24/17 20:09:43 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Blu+%26+Exile""

02/24/17 20:10:31 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"The+Blues+Image""

02/24/17 20:10:32 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"The+Blues+Magoos""

02/24/17 20:11:18 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"DJ+BoBo+%26+Irene+Cara""

02/24/17 20:12:05 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Ray+Boltz""

02/24/17 20:12:42 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"B.O.N.E.+Enterpri%24e""

02/24/17 20:13:03 == No matches found on url: "http://musicbrainz.org/ws/2/artist/?query=artist:"Bonnie+%27Prince%27+Billy+%26+Matt+Sweeney""

